,Player,Match,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot
1,V Kohli,ipl2008_01,1,1,5,1,1.0,20.0,1,0,0,0,0,80.0
2,V Kohli,ipl2008_05,1,23,14,1,23.0,164.3,23,0,0,3,1,35.7
3,V Kohli,ipl2008_12,1,13,14,1,13.0,92.9,13,0,0,0,1,50.0
4,V Kohli,ipl2008_15,1,12,7,1,12.0,171.4,12,0,0,2,0,28.6
5,V Kohli,ipl2008_17,1,1,1,0,-,100.0,1,0,0,0,0,0.0
6,V Kohli,ipl2008_21,1,38,29,1,38.0,131.0,38,0,0,1,2,17.2
7,V Kohli,ipl2008_25,1,34,36,1,34.0,94.4,34,0,0,5,0,50.0
8,V Kohli,ipl2008_34,1,21,22,1,21.0,95.5,21,0,0,4,0,63.6
9,V Kohli,ipl2008_39,1,3,7,1,3.0,42.9,3,0,0,0,0,57.1
10,V Kohli,ipl2008_46,1,10,16,1,10.0,62.5,10,0,0,1,0,56.2
11,V Kohli,ipl2008_51,1,9,5,1,9.0,180.0,9,0,0,2,0,40.0
12,V Kohli,ipl2008_55,1,0,1,1,0.0,0.0,0,0,0,0,0,100.0
13,V Kohli,ipl2009_02,1,3,8,1,3.0,37.5,3,0,0,0,0,62.5
14,V Kohli,ipl2009_05,1,11,13,1,11.0,84.6,11,0,0,0,1,61.5
15,V Kohli,ipl2009_08,1,50,32,1,50.0,156.2,50,1,0,7,0,31.2
16,V Kohli,ipl2009_11,1,2,3,1,2.0,66.7,2,0,0,0,0,33.3
17,V Kohli,ipl2009_14,1,22,24,1,22.0,91.7,22,0,0,1,0,25.0
18,V Kohli,ipl2009_19,1,19,12,1,19.0,158.3,19,0,0,1,1,25.0
19,V Kohli,ipl2009_24,1,16,14,1,16.0,114.3,16,0,0,2,0,28.6
20,V Kohli,ipl2009_33,1,15,22,1,15.0,68.2,15,0,0,1,0,45.5
21,V Kohli,ipl2009_38,1,20,22,1,20.0,90.9,20,0,0,4,0,63.6
22,V Kohli,ipl2009_44,1,38,35,1,38.0,108.6,38,0,0,4,2,54.3
23,V Kohli,ipl2009_56,1,19,9,0,-,211.1,19,0,0,0,2,22.2
24,V Kohli,ipl2009_58,1,24,17,0,-,141.2,24,0,0,1,2,35.3
25,V Kohli,ipl2009_59,1,7,8,1,7.0,87.5,7,0,0,1,0,50.0
26,V Kohli,ipl2010_04,1,2,5,1,2.0,40.0,2,0,0,0,0,60.0
27,V Kohli,ipl2010_07,1,16,12,0,-,133.3,16,0,0,1,1,33.3
28,V Kohli,ipl2010_14,1,17,12,1,17.0,141.7,17,0,0,0,2,50.0
29,V Kohli,ipl2010_18,1,24,16,1,24.0,150.0,24,0,0,2,1,25.0
30,V Kohli,ipl2010_20,1,38,23,0,-,165.2,38,0,0,4,1,13.0
31,V Kohli,ipl2010_28,1,34,24,1,34.0,141.7,34,0,0,3,1,25.0
32,V Kohli,ipl2010_31,1,42,26,1,42.0,161.5,42,0,0,4,1,11.5
33,V Kohli,ipl2010_35,1,13,11,1,13.0,118.2,13,0,0,1,0,9.1
34,V Kohli,ipl2010_40,1,58,35,1,58.0,165.7,58,1,0,4,4,34.3
35,V Kohli,ipl2010_46,1,3,4,1,3.0,75.0,3,0,0,0,0,50.0
36,V Kohli,ipl2010_49,1,14,13,1,14.0,107.7,14,0,0,2,0,46.2
37,V Kohli,ipl2010_52,1,37,24,1,37.0,154.2,37,0,0,4,1,16.7
38,V Kohli,ipl2010_57,1,9,7,1,9.0,128.6,9,0,0,1,0,42.9
39,V Kohli,ipl2011_03,1,23,18,1,23.0,127.8,23,0,0,4,0,44.4
40,V Kohli,ipl2011_08,1,12,19,1,12.0,63.2,12,0,0,2,0,68.4
41,V Kohli,ipl2011_11,1,71,51,1,71.0,139.2,71,1,0,5,3,37.3
42,V Kohli,ipl2011_14,1,35,28,1,35.0,125.0,35,0,0,4,1,35.7
43,V Kohli,ipl2011_24,1,30,23,0,-,130.4,30,0,0,3,1,34.8
44,V Kohli,ipl2011_30,1,56,38,1,56.0,147.4,56,1,0,8,2,42.1
45,V Kohli,ipl2011_35,1,67,42,1,67.0,159.5,67,1,0,4,4,23.8
46,V Kohli,ipl2011_47,1,27,31,1,27.0,87.1,27,0,0,4,0,54.8
47,V Kohli,ipl2011_50,1,27,33,0,-,81.8,27,0,0,3,0,51.5
48,V Kohli,ipl2011_55,1,39,34,0,-,114.7,39,0,0,3,1,29.4
49,V Kohli,ipl2011_58,1,15,15,1,15.0,100.0,15,0,0,2,0,40.0
50,V Kohli,ipl2011_63,1,11,11,1,11.0,100.0,11,0,0,2,0,63.6
51,V Kohli,ipl2011_69,1,31,29,1,31.0,106.9,31,0,0,5,0,44.8
52,V Kohli,ipl2011_71,1,70,44,0,-,159.1,70,1,0,5,3,22.7
53,V Kohli,ipl2011_73,1,8,12,1,8.0,66.7,8,0,0,0,0,33.3
