,Player,Match,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,4s,6s,
1,V Kohli,ipl2008_17,1,1.0,11,0,11.00,-,-,0,0/11,1,0,0.0
2,V Kohli,ipl2008_34,1,1.0,9,0,9.00,-,-,0,0/9,1,0,0.0
3,V Kohli,ipl2008_39,1,2.0,16,0,8.00,-,-,0,0/16,1,0,25.0
4,V Kohli,ipl2008_51,1,3.4,25,2,6.82,12.5,11.0,0,2/25,0,1,31.8
5,V Kohli,ipl2009_05,1,1.0,9,0,9.00,-,-,0,0/9,2,0,50.0
6,V Kohli,ipl2009_52,1,2.0,12,0,6.00,-,-,0,0/12,0,0,41.7
7,V Kohli,ipl2009_56,1,3.0,25,0,8.33,-,-,0,0/25,0,1,27.8
8,V Kohli,ipl2010_04,1,0.2,1,0,3.00,-,-,0,0/1,0,0,50.0
9,V Kohli,ipl2010_07,1,2.0,23,0,11.50,-,-,0,0/23,3,0,16.7
10,V Kohli,ipl2010_46,1,2.0,16,0,8.00,-,-,0,0/16,0,1,25.0
11,V Kohli,ipl2010_57,1,1.0,10,0,10.00,-,-,0,0/10,0,1,33.3
12,V Kohli,ipl2011_03,1,2.0,14,1,7.00,14.0,12.0,0,1/14,2,0,33.3
13,V Kohli,ipl2011_08,1,2.0,15,0,7.50,-,-,0,0/15,1,0,8.3
14,V Kohli,ipl2011_14,1,3.0,23,0,7.67,-,-,0,0/23,2,0,16.7
15,V Kohli,ipl2011_24,1,1.0,9,0,9.00,-,-,0,0/9,1,0,0.0
16,V Kohli,ipl2011_47,1,1.0,7,0,7.00,-,-,0,0/7,0,0,33.3
17,V Kohli,ipl2011_55,1,3.0,17,0,5.67,-,-,0,0/17,1,0,33.3
18,V Kohli,ipl2011_58,1,1.0,14,0,14.00,-,-,0,0/14,1,1,0.0
19,V Kohli,ipl2011_63,1,1.0,13,0,13.00,-,-,0,0/13,1,1,50.0
20,V Kohli,ipl2011_69,1,1.0,8,1,8.00,8.0,6.0,0,1/8,1,0,66.7
21,V Kohli,ipl2011_71,1,2.0,19,0,9.50,-,-,0,0/19,3,0,33.3
22,V Kohli,ipl2012_10,1,1.0,13,0,13.00,-,-,0,0/13,1,1,16.7
23,V Kohli,ipl2012_13,1,2.0,36,0,18.00,-,-,0,0/36,3,3,8.3
24,V Kohli,ipl2015_23,1,0.5,4,0,4.80,-,-,0,0/4,0,0,20.0
25,V Kohli,ipl2015_38,1,1.0,6,0,6.00,-,-,0,0/6,0,0,16.7
26,V Kohli,ipl2016_44,1,1.0,13,0,13.00,-,-,0,0/13,0,1,33.3
1,AD Russell,ipl2012_55,1,4.0,39,0,9.75,-,-,0,0/39,6,1,33.3
2,AD Russell,ipl2012_67,1,4.0,41,0,10.25,-,-,0,0/41,4,2,33.3
3,AD Russell,ipl2012_69,1,4.0,51,1,12.75,51.0,24.0,0,1/51,10,0,25.0
4,AD Russell,ipl2012_75,1,4.0,30,0,7.50,-,-,0,0/30,4,0,37.5
